,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext,Validation,Comments
48.0,Morley,Morley_1597_017,5,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CtB,1.0,4.0,C3,P4,P4,0.42857142857142855,48.0,18.0,,
66.0,Morley,Morley_1597_017,6,2.0,BC1,^BC(1|3)x?z?$,Authentic,D,CTB,1.0,4.0,D3,P5,P5,0.5892857142857143,18.0,54.0,,
328.0,Morley,Morley_1597_056-57,42,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,tC,1.0,2.0,D4,P5,P5,0.6949152542372882,28.0,28.0,,
457.0,Morley,Morley_1597_056-57,58,1.5,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,2.0,G3,P1,,0.9682203389830508,5.0,15.0,,
452.0,Morley,Morley_1597_056-57,57,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.9576271186440678,36.0,5.0,,
416.0,Morley,Morley_1597_056-57,53,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,0.8813559322033898,15.0,36.0,,
401.0,Morley,Morley_1597_056-57,51,1.5,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,2.0,G3,P1,,0.8495762711864406,5.0,15.0,,
396.0,Morley,Morley_1597_056-57,50,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.8389830508474576,40.0,5.0,,
356.0,Morley,Morley_1597_056-57,45,3.0,BC1,^BC(1|3)x?z?$,Authentic,A,CB,1.0,2.0,A3,M2,M2,0.7542372881355932,28.0,40.0,,
300.0,Morley,Morley_1597_056-57,38,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.635593220338983,72.0,28.0,,
228.0,Morley,Morley_1597_056-57,29,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G3,P1,P8,0.4830508474576271,16.0,72.0,,
212.0,Morley,Morley_1597_056-57,27,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.4491525423728814,32.0,16.0,,
180.0,Morley,Morley_1597_056-57,23,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,A,tC,1.0,2.0,A4,M9,M2,0.3813559322033898,12.0,32.0,,
44.0,Morley,Morley_1597_056-57,6,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.09322033898305085,44.0,20.0,,
64.0,Morley,Morley_1597_056-57,9,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G3,P1,P8,0.13559322033898305,20.0,28.0,,
92.0,Morley,Morley_1597_056-57,12,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,2.0,D4,P5,P5,0.19491525423728814,28.0,48.0,,
140.0,Morley,Morley_1597_056-57,18,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,2.0,G4,P8,P8,0.2966101694915254,48.0,16.0,,
156.0,Morley,Morley_1597_056-57,20,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,2.0,D4,P5,P5,0.3305084745762712,16.0,10.0,,
472.0,Morley,Morley_1597_056-57,60,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,1.0,15.0,8.0,,
166.0,Morley,Morley_1597_056-57,21,4.0,T-2c-1,^T-2c-(1|2)x?z?$,Evaded Clausula Vera,,Tc,-1.0,2.0,B3,M3,,0.3516949152542373,10.0,2.0,,
168.0,Morley,Morley_1597_056-57,22,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,2.0,G3,P1,,0.3559322033898305,2.0,12.0,,
116.0,Morley,Morley_1597_058-59,15,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,2.0,G4,P8,P8,0.26851851851851855,8.0,76.0,,
432.0,Morley,Morley_1597_058-59,55,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,1.0,16.0,8.0,,
416.0,Morley,Morley_1597_058-59,53,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,M2,M2,0.9629629629629629,14.0,16.0,,
402.0,Morley,Morley_1597_058-59,51,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,M2,M2,0.9305555555555556,12.0,14.0,,
390.0,Morley,Morley_1597_058-59,49,4.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,M9,M2,0.9027777777777778,10.0,12.0,,
380.0,Morley,Morley_1597_058-59,48,3.0,BC1,^BC(1|3)x?z?$,Authentic,E,CB,1.0,2.0,E3,-m3,M6,0.8796296296296297,12.0,10.0,,
368.0,Morley,Morley_1597_058-59,47,1.0,BC1,^BC(1|3)x?z?$,Authentic,E,CB,1.0,2.0,E3,-m3,M6,0.8518518518518519,12.0,12.0,,
356.0,Morley,Morley_1597_058-59,45,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,M9,M2,0.8240740740740741,28.0,12.0,,
192.0,Morley,Morley_1597_058-59,25,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,2.0,G4,P8,P8,0.4444444444444444,76.0,32.0,,
312.0,Morley,Morley_1597_058-59,40,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,M2,M2,0.7222222222222222,14.0,16.0,,
298.0,Morley,Morley_1597_058-59,38,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,M2,M2,0.6898148148148148,12.0,14.0,,
328.0,Morley,Morley_1597_058-59,42,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,0.7592592592592593,16.0,28.0,,
276.0,Morley,Morley_1597_058-59,35,3.0,BC1,^BC(1|3)x?z?$,Authentic,E,CB,1.0,2.0,E3,-m3,M6,0.6388888888888888,12.0,10.0,,
264.0,Morley,Morley_1597_058-59,34,1.0,BC1,^BC(1|3)x?z?$,Authentic,E,CB,1.0,2.0,E3,-m3,M6,0.6111111111111112,12.0,12.0,,
252.0,Morley,Morley_1597_058-59,32,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,M9,M2,0.5833333333333334,28.0,12.0,,
32.0,Morley,Morley_1597_058-59,5,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.07407407407407407,32.0,8.0,,
224.0,Morley,Morley_1597_058-59,29,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,2.0,G3,P1,P8,0.5185185185185185,32.0,28.0,,
84.0,Morley,Morley_1597_058-59,11,3.0,T-2c-2,^T-2c-(1|2)x?z?$,Evaded Clausula Vera,,Tc,-1.0,2.0,E4,M6,,0.19444444444444445,44.0,24.0,,
108.0,Morley,Morley_1597_058-59,14,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D4,P5,P5,0.25,24.0,8.0,,
286.0,Morley,Morley_1597_058-59,36,4.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,M9,M2,0.6620370370370371,10.0,12.0,,
40.0,Morley,Morley_1597_058-59,6,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,2.0,G4,P8,P8,0.09259259259259259,8.0,44.0,,
284.0,Morley,Morley_1597_060-61,36,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,TC,1.0,2.0,C5,m3,-M6,0.5298507462686567,16.0,20.0,,
52.0,Morley,Morley_1597_060-61,7,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,E,TC,1.0,2.0,E4,-P4,-P4,0.09701492537313433,20.0,40.0,,
268.0,Morley,Morley_1597_060-61,34,3.0,T-2c-2,^T-2c-(1|2)x?z?$,Evaded Clausula Vera,,Tc,-1.0,2.0,C5,m3,,0.5,20.0,16.0,,
248.0,Morley,Morley_1597_060-61,32,1.0,BC1,^BC(1|3)x?z?$,Authentic,E,BC,1.0,2.0,E4,-P4,-P4,0.4626865671641791,100.0,20.0,,
148.0,Morley,Morley_1597_060-61,19,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,E,TC,1.0,2.0,E5,P5,-P4,0.27611940298507465,28.0,100.0,,
120.0,Morley,Morley_1597_060-61,16,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,E,CT,1.0,2.0,E5,P5,-P4,0.22388059701492538,28.0,28.0,,
92.0,Morley,Morley_1597_060-61,12,3.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,A,zC,1.0,1.0,A4,P1,-P1,0.17164179104477612,40.0,28.0,,
32.0,Morley,Morley_1597_060-61,5,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A4,P1,-P1,0.05970149253731343,32.0,20.0,,
314.0,Morley,Morley_1597_060-61,40,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,E,CT,1.0,2.0,E4,-P4,-P4,0.585820895522388,10.0,34.0,,
408.0,Morley,Morley_1597_060-61,52,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A4,P1,-P1,0.7611940298507462,8.0,22.0,,
430.0,Morley,Morley_1597_060-61,54,4.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,E,TC,1.0,2.0,E4,-P4,-P4,0.8022388059701493,22.0,34.0,,
464.0,Morley,Morley_1597_060-61,59,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A4,P1,-P1,0.8656716417910447,34.0,12.0,,
476.0,Morley,Morley_1597_060-61,60,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,E,CT,1.0,2.0,E5,P5,-P4,0.8880597014925373,12.0,26.0,,
502.0,Morley,Morley_1597_060-61,63,4.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,TC,1.0,2.0,D5,P4,-P5,0.9365671641791045,26.0,14.0,,
304.0,Morley,Morley_1597_060-61,39,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,P1,-P1,0.5671641791044776,20.0,10.0,,
400.0,Morley,Morley_1597_060-61,51,1.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,A,zC,1.0,1.0,A4,P1,-P1,0.746268656716418,14.0,8.0,,
348.0,Morley,Morley_1597_060-61,44,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,P1,-P1,0.6492537313432836,34.0,12.0,,
360.0,Morley,Morley_1597_060-61,46,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,E,TC,1.0,2.0,E5,P5,-P4,0.6716417910447762,12.0,26.0,,
386.0,Morley,Morley_1597_060-61,49,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D5,P4,-P5,0.7201492537313433,26.0,14.0,,
516.0,Morley,Morley_1597_060-61,65,3.0,C1z,^C(1|3)z$,Abandoned Clausula Vera,A,Cz,1.0,1.0,A4,P1,-P1,0.9626865671641791,14.0,8.0,,
524.0,Morley,Morley_1597_060-61,66,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,P1,-P1,0.9776119402985075,8.0,20.0,,
416.0,Morley,Morley_1597_062-63,53,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,A,tC,1.0,2.0,A4,P1,-P1,1.0,28.0,8.0,,
48.0,Morley,Morley_1597_062-63,7,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,P1,-P1,0.11538461538461539,48.0,42.0,,
276.0,Morley,Morley_1597_062-63,35,3.0,BC1,^BC(1|3)x?z?$,Authentic,A,CB,1.0,2.0,A3,-P8,-P1,0.6634615384615384,32.0,92.0,,
244.0,Morley,Morley_1597_062-63,31,3.0,BC1,^BC(1|3)x?z?$,Authentic,A,CB,1.0,2.0,A3,-P8,-P1,0.5865384615384616,88.0,32.0,,
156.0,Morley,Morley_1597_062-63,20,3.0,BC1,^BC(1|3)x?z?$,Authentic,A,CB,1.0,2.0,A3,-P8,-P1,0.375,66.0,88.0,,
90.0,Morley,Morley_1597_062-63,12,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,B,CT,1.0,2.0,B3,-m7,M2,0.21634615384615385,42.0,66.0,,
388.0,Morley,Morley_1597_062-63,49,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,TC,1.0,2.0,D4,-P5,-P5,0.9326923076923077,20.0,28.0,,
368.0,Morley,Morley_1597_062-63,47,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A3,-P8,-P1,0.8846153846153846,92.0,20.0,,
380.0,Morley,Morley_1597_064-65,48,3.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,F#,CT,1.0,2.0,F#3,P5,P5,0.5671641791044776,32.0,28.0,,
60.0,Morley,Morley_1597_064-65,8,3.0,C1u-3,^C1u-(3|4)$,Evaded Authentic,B,Cu,1.0,2.0,D#3,M3,P8,0.08955223880597014,60.0,36.0,,
96.0,Morley,Morley_1597_064-65,13,1.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,F#,CT,1.0,2.0,F#3,P5,P5,0.14328358208955225,36.0,212.0,,
308.0,Morley,Morley_1597_064-65,39,3.0,C1x,^C(1|3)xz?$,Abandoned Authentic,B,Cx,1.0,1.0,B4,P15,P8,0.4597014925373134,212.0,40.0,,
348.0,Morley,Morley_1597_064-65,44,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,B,TC,1.0,2.0,B3,P8,P8,0.5194029850746269,40.0,32.0,,
408.0,Morley,Morley_1597_064-65,52,1.0,T-2c-1,^T-2c-(1|2)x?z?$,Evaded Clausula Vera,,Tc,-1.0,2.0,C#3,M2,,0.608955223880597,28.0,32.0,,
618.0,Morley,Morley_1597_064-65,75,1.0,BC1,^BC(1|3)x?z?$,Authentic,B,CB,1.0,2.0,B2,P1,P8,0.9223880597014925,90.0,60.0,,
528.0,Morley,Morley_1597_064-65,67,1.0,BC1,^BC(1|3)x?z?$,Authentic,B,CB,1.0,2.0,B2,P1,P8,0.7880597014925373,40.0,90.0,,
488.0,Morley,Morley_1597_064-65,62,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D3,m3,m3,0.7283582089552239,20.0,40.0,,
468.0,Morley,Morley_1597_064-65,59,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,B,TC,1.0,2.0,B3,P8,P8,0.6985074626865672,20.0,20.0,,
448.0,Morley,Morley_1597_064-65,57,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,2.0,B2,P1,,0.6686567164179105,8.0,20.0,,
440.0,Morley,Morley_1597_064-65,56,1.0,BC1,^BC(1|3)x?z?$,Authentic,B,CB,1.0,2.0,B2,P1,P8,0.6567164179104478,32.0,8.0,,
332.0,Morley,Morley_1597_066-67,42,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,A,tC,1.0,2.0,A4,M2,M2,0.8645833333333334,16.0,60.0,,
26.0,Morley,Morley_1597_066-67,4,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G4,P1,-P1,0.06770833333333333,26.0,20.0,,
316.0,Morley,Morley_1597_066-67,40,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,TC,1.0,2.0,D5,P5,-P4,0.8229166666666666,12.0,16.0,,
68.0,Morley,Morley_1597_066-67,9,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,2.0,G4,P1,-P1,0.17708333333333334,22.0,44.0,,
112.0,Morley,Morley_1597_066-67,15,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,tC,1.0,2.0,D5,P5,-P4,0.2916666666666667,44.0,24.0,,
46.0,Morley,Morley_1597_066-67,6,4.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,tC,1.0,2.0,D5,P5,-P4,0.11979166666666667,20.0,22.0,,
144.0,Morley,Morley_1597_066-67,19,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G4,P1,-P1,0.375,8.0,12.0,,
304.0,Morley,Morley_1597_066-67,39,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,BC,1.0,2.0,D4,-P4,-P4,0.7916666666666666,6.0,12.0,,
136.0,Morley,Morley_1597_066-67,18,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D5,P5,-P4,0.3541666666666667,24.0,8.0,,
284.0,Morley,Morley_1597_066-67,36,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,TC,1.0,2.0,A4,M2,M2,0.7395833333333334,32.0,14.0,,
252.0,Morley,Morley_1597_066-67,32,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,A,tC,1.0,2.0,A4,M2,M2,0.65625,52.0,32.0,,
298.0,Morley,Morley_1597_066-67,38,2.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,2.0,G4,P1,-P1,0.7760416666666666,14.0,6.0,,
182.0,Morley,Morley_1597_066-67,23,4.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G4,P1,-P1,0.4739583333333333,14.0,6.0,,
168.0,Morley,Morley_1597_066-67,22,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,A,CT,1.0,2.0,A4,M2,M2,0.4375,12.0,14.0,,
156.0,Morley,Morley_1597_066-67,20,3.0,C1t1,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,E,tC,1.0,2.0,E5,M6,-m3,0.40625,12.0,12.0,,
200.0,Morley,Morley_1597_066-67,26,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,2.0,D5,P5,-P4,0.5208333333333334,12.0,52.0,,
188.0,Morley,Morley_1597_066-67,24,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,2.0,D4,-P4,-P4,0.4895833333333333,6.0,12.0,,
52.0,Morley,Morley_1597_068,7,3.0,BC1,^BC(1|3)x?z?$,Authentic,G,TCB,1.0,3.0,G3,P1,P8,0.3880597014925373,52.0,24.0,,
134.0,Morley,Morley_1597_068,18,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,TCB,1.0,3.0,G3,P1,P8,1.0,18.0,8.0,,
116.0,Morley,Morley_1597_068,15,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,3.0,B3,M3,P8,0.8656716417910447,4.0,18.0,,
112.0,Morley,Morley_1597_068,15,1.0,C2T-2,^C(2|4)T-2x?z?$,Clausula Vera,D,CT,0.0,3.0,D4,P5,P5,0.835820895522388,8.0,4.0,,
104.0,Morley,Morley_1597_068,14,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,3.0,G3,P1,P8,0.7761194029850746,8.0,8.0,,
96.0,Morley,Morley_1597_068,13,1.0,BC1,^BC(1|3)x?z?$,Authentic,A,TCB,1.0,3.0,A3,M2,M2,0.7164179104477612,20.0,8.0,,
76.0,Morley,Morley_1597_068,10,3.0,BC1,^BC(1|3)x?z?$,Authentic,G,tCB,1.0,3.0,G3,P1,P8,0.5671641791044776,24.0,20.0,,
48.0,Morley,Morley_1597_073_2,6,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G3,P1,P8,1.0,48.0,4.0,,
16.0,Morley,Morley_1597_074_01,5,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G3,P1,P8,1.0,16.0,4.0,,
16.0,Morley,Morley_1597_074_02,5,1.0,A2T-2,^A(2|4)T-2x?y?z?$,Altizans Only,D,AT,0.0,2.0,G3,P1,P5,1.0,16.0,4.0,,
16.0,Morley,Morley_1597_074_03,5,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,2.0,G3,P1,,1.0,16.0,4.0,,
12.0,Morley,Morley_1597_074_04,4,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G3,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Morley_1597_074_05,4,1.0,A2T-2,^A(2|4)T-2x?y?z?$,Altizans Only,D,AT,0.0,2.0,G3,P1,P5,1.0,12.0,4.0,,
12.0,Morley,Morley_1597_074_06,4,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CB,1.0,2.0,D4,P1,-P1,1.0,12.0,4.0,,
48.0,Morley,Morley_1597_076_2,7,1.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,2.0,G3,P1,,1.0,48.0,8.0,,
56.0,Morley,Morley_1597_076_3,8,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,2.0,G3,P1,P8,1.0,56.0,8.0,,
56.0,Morley,Morley_1597_076_4,8,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,TC,1.0,2.0,G2,P1,P8,1.0,56.0,8.0,,
24.0,Morley,Morley_1597_127_3,4,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,tCB,1.0,3.0,G2,-P4,P5,0.42857142857142855,24.0,20.0,,
44.0,Morley,Morley_1597_127_3,6,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,3.0,C3,P1,P8,0.7857142857142857,20.0,12.0,,
56.0,Morley,Morley_1597_127_3,8,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CB,1.0,3.0,C3,P1,P8,1.0,12.0,8.0,,
8.0,Morley,Morley_1597_127_4,2,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,3.0,G2,P1,P8,1.0,8.0,8.0,,
16.0,Morley,Morley_1597_127_7,3,1.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,3.0,G2,P1,P8,1.0,16.0,8.0,,
8.0,Morley,Morley_1597_128_10,1,2.333333333333333,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,3.0,G3,P1,P8,0.8,8.0,4.0,,
8.0,Morley,Morley_1597_128_11,1,2.333333333333333,C1z,^C(1|3)z$,Abandoned Clausula Vera,G,zC,1.0,2.0,G3,P1,P8,0.3333333333333333,8.0,16.0,,
24.0,Morley,Morley_1597_128_11,3,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,3.0,G3,P1,P8,1.0,16.0,4.0,,
28.0,Morley,Morley_1597_128_2,4,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,3.0,G2,P1,P8,1.0,28.0,4.0,,
8.0,Morley,Morley_1597_128_3,2,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,3.0,G2,P1,P8,1.0,8.0,8.0,,
8.0,Morley,Morley_1597_128_6,2,1.0,c-1z,c-1z,,,cz,,2.0,G3,P8,,0.3333333333333333,8.0,16.0,,
24.0,Morley,Morley_1597_128_6,4,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,tCB,1.0,3.0,G2,P1,P8,1.0,16.0,8.0,,
8.0,Morley,Morley_1597_128_7,2,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,tCB,1.0,3.0,G2,P1,P8,1.0,8.0,8.0,,
8.0,Morley,Morley_1597_128_8,1,2.333333333333333,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,G,tC,1.0,3.0,G3,P1,P8,1.0,8.0,4.0,,
12.0,Morley,Morley_1597_129_1,2,3.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,3.0,C3,P1,P8,1.0,12.0,4.0,,
8.0,Morley,Morley_1597_129_2,2,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,3.0,C3,P1,P8,1.0,8.0,8.0,,
12.0,Morley,Morley_1597_129_3,2,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,C,tC,1.0,3.0,C3,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Morley_1597_129_4,2,3.0,BC1,^BC(1|3)x?z?$,Authentic,C,CB,1.0,3.0,C3,P1,P8,1.0,12.0,4.0,,
8.0,Morley,Morley_1597_129_5,2,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,C,CT,1.0,3.0,C3,P1,P8,1.0,8.0,8.0,,
16.0,Morley,Morley_1597_129_6,3,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CB,1.0,3.0,G3,P1,P8,1.0,16.0,8.0,,
12.0,Morley,Morley_1597_132_01,2,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CtB,1.0,4.0,D3,P1,P8,1.0,12.0,4.0,,
12.0,Morley,Morley_1597_132_02,2,3.0,BC1,^BC(1|3)x?z?$,Authentic,D,CtB,1.0,4.0,D3,P1,P8,1.0,12.0,4.0,,
