Measure,Beat,Bassus_Quinta vox,Bassus_Tenor,Bassus_Altus,Bassus_Sexta vox,Bassus_Cantus,Quinta vox_Tenor,Quinta vox_Altus,Quinta vox_Sexta vox,Quinta vox_Cantus,Tenor_Altus,Tenor_Sexta vox,Tenor_Cantus,Altus_Sexta vox,Altus_Cantus,Sexta vox_Cantus
1,2.5,,"8_1, 8_-4, 10","10_1, 10_-4, 12","12_1, 12_-4, 15","14_1, 15_-4, 19",,,,,"3_1, 3_-2, 3","5_1, 5_-2, 6","7_1, 8_-2, 10","3_1, 3_-2, 4","5_1, 6_-2, 8","3_1, 4_1, 5"
1,3.0,,"8_-4, 10_1, 8","10_-4, 12_1, 12","12_-4, 15_1, 17","15_-4, 19_1, 19",,,,,"3_-2, 3_-3, 5","5_-2, 6_-3, 10","8_-2, 10_-3, 12","3_-2, 4_1, 6","6_-2, 8_1, 8","4_1, 5_3, 3"
2,3.0,"5_1, 5_5, 1","10_1, 10_5, 5","12_1, 12_5, 8","15_1, 15_5, 10","19_1, 19_5, 15","6_1, 6_1, 5","8_1, 8_1, 8","11_1, 11_1, 10","15_1, 15_1, 15","3_1, 3_-2, 4","6_1, 6_-2, 6","10_1, 10_-2, 11","4_1, 4_1, 3","8_1, 8_1, 8","5_1, 5_-2, 6"
6,2.0,,,,,,,"5_1, 5_-4, 8","8_1, 8_-4, 10","10_1, 10_-4, 12",,,,"4_1, 4_1, 3","6_1, 6_1, 5","3_1, 3_-2, 3"
6,2.5,,,,,,,"5_-4, 8_2, 5","8_-4, 10_2, 8","10_-4, 12_2, 10",,,,"4_1, 3_-3, 4","6_1, 5_-3, 6","3_-2, 3_-2, 3"
6,3.5,,,,,,,"5_-4, 8_4, 5","8_-4, 10_4, 8","10_-4, 12_4, 10",,,,"4_1, 3_1, 4","6_1, 5_1, 6","3_-2, 3_2, 3"
12,1.5,"4_4, 1_-2, 3","5_4, 3_-2, 6","10_4, 5_-2, 8",,"13_4, 10_-2, 11","2_Held, 3_2, 4","7_Held, 5_2, 6",,,"6_2, 3_3, 3",,"9_2, 8_3, 6",,"4_-3, 6_3, 4",
13,4.5,"6_-2, 5_-4, 8","10_-2, 10_-4, 12","10_-2, 8_-4, 10",,,"5_-2, 6_1, 5","5_-2, 4_1, 3",,,"1_2, -3_-2, -3",,,,,
16,1.5,,,,,,,,,,,,,"3_2, 3_2, 3","6_2, 5_2, 6","4_2, 3_2, 4"
16,2.0,,,,,,,,,,,,,"3_2, 3_2, 3","5_2, 6_2, 5","3_2, 4_2, 3"
16,3.0,,,,,,,,,,,,,,,"4_2, 3_-5, 6"
17,3.0,,,,,,,,,,,,,"3_4, -3_-4, 3","5_4, 3_-4, 5","3_-2, 5_2, 3"
17,4.0,,,,,,,,,,,,,"-3_-4, 3_-3, 6","3_-4, 5_-3, 8","5_2, 3_2, 3"
18,1.0,,,,,,,,,,,,,"3_-3, 6_4, 1","5_-3, 8_4, 3","3_2, 3_-3, 3"
18,2.5,,,,,,,,,,,,,"6_4, 1_-4, 3","8_4, 3_-4, 5","3_-3, 3_-2, 3"
18,3.0,,,,,,,,,,,,,"1_-4, 3_2, 3","3_-4, 5_2, 3","3_-2, 3_2, 1"
18,4.0,,,,,,,,,,,,,"3_2, 3_-3, 3","5_2, 3_-3, 8","3_2, 1_-3, 6"
18,4.5,,,,,,,,,,,,,"3_-3, 3_2, 3","3_-3, 8_2, 5","1_-3, 6_2, 3"
19,1.0,,,,,,,,,,,,,"3_2, 3_4, 1","8_2, 5_4, 3","6_2, 3_2, 3"
20,1.0,,,,,,,,,,"3_1, 3_-5, 8","5_1, 5_-5, 12","8_1, 8_-5, 10","3_1, 3_2, 5","6_1, 6_2, 3","4_1, 4_4, -3"
20,1.5,,,,,,,,,,"3_-5, 8_4, 5","5_-5, 12_4, 10","8_-5, 10_4, 8","3_2, 5_1, 6","6_2, 3_1, 4","4_4, -3_2, -3"
20,3.5,,,,,,,,,,"3_-2, 3_2, 3","5_-2, 6_2, 5",,"3_-2, 4_-2, 3",,
20,4.5,,,,,,,,,,"3_2, 3_-2, 3","6_2, 5_-2, 5","6_2, 8_-2, 7","4_-2, 3_-2, 3","4_-2, 6_-2, 5","1_-5, 4_-3, 3"
21,1.5,,,,,,,,,,,"5_-5, 10_-2, 8","7_-5, 11_-2, 10",,,"3_2, 2_3, 3"
23,4.0,"8_1, 8_4, 3","10_1, 10_4, 5","12_1, 12_4, 10","12_Held, 15_1, 15","15_Held, 17_1, 17","3_1, 3_-3, 3","5_1, 5_-3, 8","5_Held, 8_1, 8","8_Held, 10_1, 10","3_-3, 3_-3, 6","3_Held, 4_-3, 6","6_Held, 6_-3, 8","1_Held, 6_3, 4","4_Held, 8_3, 6",
24,4.0,"8_5, 5_-4, 8","12_5, 8_-4, 10","15_5, 10_-4, 12","17_5, 12_-4, 17","19_5, 15_-4, 19","5_2, 4_1, 3","8_2, 6_1, 5","10_2, 8_1, 10","12_2, 11_1, 12","4_1, 3_-2, 3","6_1, 5_-2, 8","8_1, 8_-2, 10","3_-2, 3_-2, 6","5_-2, 6_-2, 8","3_-2, 4_3, 3"
29,3.0,,,,,,,,,,"1_-5, 5_-2, 8","3_-5, 8_-2, 10","5_-5, 10_-2, 12","3_1, 4_3, 3","5_1, 6_3, 5","3_2, 3_2, 3"
29,4.0,,,,,,,,,,"5_-2, 8_5, 3","8_-2, 10_5, 5","10_-2, 12_5, 8","4_3, 3_-2, 3","6_3, 5_-2, 6","3_2, 3_-2, 4"
30,1.0,,,,,,,,,,"8_5, 3_-2, 3","10_5, 5_-2, 6","12_5, 8_-2, 10","3_-2, 3_-2, 4","5_-2, 6_-2, 8","3_-2, 4_1, 5"
30,2.0,,,,,,,,,,"3_-2, 3_2, 3","5_-2, 6_2, 5","8_-2, 10_2, 8","3_-2, 4_2, 3","6_-2, 8_2, 6","4_1, 5_1, 4"
34,2.0,"5_-2, 8_5, 3","6_-2, 7_5, 3","8_-2, 10_5, 5","10_-2, 12_5, 8","14_-2, 15_5, 11","2_3, -2_-2, 1","4_3, 3_-2, 3","6_3, 5_-2, 6","10_3, 8_-2, 9","3_Held, 4_Held, 3","5_Held, 6_Held, 6",,"3_2, 3_-2, 4","7_2, 6_-2, 7","5_2, 4_1, 4"
34,3.0,"8_5, 3_-2, 3","7_5, 3_-2, 4","10_5, 5_-2, 6","12_5, 8_-2, 10","15_5, 11_-2, 12","-2_-2, 1_-2, 2","3_-2, 3_-2, 4","5_-2, 6_-2, 8","8_-2, 9_-2, 10","4_Held, 3_Held, 3","6_Held, 6_Held, 7",,"3_-2, 4_1, 5","6_-2, 7_1, 7","4_1, 4_2, 3"
34,4.0,"3_-2, 3_-2, 3",,"5_-2, 6_-2, 5","8_-2, 10_-2, 8",,,"3_-2, 4_-2, 3","6_-2, 8_-2, 6",,,,,"4_1, 5_-2, 4",,
34,4.5,"3_-2, 3_-3, 5",,"6_-2, 5_-3, 8","10_-2, 8_-3, 10",,,"4_-2, 3_1, 4","8_-2, 6_1, 6",,,,,"5_-2, 4_2, 3",,
35,1.0,"3_-3, 5_-6, 8",,"5_-3, 8_-6, 10",,,,"3_1, 4_1, 3",,,,,,,,
36,3.0,"5_1, 5_1, 5","8_1, 8_1, 8","12_1, 12_1, 12","15_1, 15_1, 15","17_1, 17_1, 17","4_1, 4_1, 4","8_1, 8_1, 8","11_1, 11_1, 11","13_1, 13_1, 13","5_1, 5_1, 5","8_1, 8_1, 8","10_1, 10_1, 10","4_1, 4_1, 4","6_1, 6_1, 6","3_1, 3_1, 3"
37,1.0,"5_1, 5_4, 3","8_1, 8_4, 5","12_1, 12_4, 8","15_1, 15_4, 12","17_1, 17_4, 15","4_1, 4_2, 3","8_1, 8_2, 6","11_1, 11_2, 10","13_1, 13_2, 13","5_1, 5_1, 4","8_1, 8_1, 8","10_1, 10_1, 11","4_1, 4_-2, 5","6_1, 6_-2, 8","3_1, 3_1, 4"
37,3.0,"3_-4, 5_5, 1","5_-4, 8_5, 5","8_-4, 12_5, 8","12_-4, 15_5, 10","15_-4, 17_5, 12","3_-2, 4_1, 5","6_-2, 8_1, 8","10_-2, 11_1, 10","13_-2, 13_1, 12","4_1, 5_2, 4","8_1, 8_2, 6","11_1, 10_2, 8","5_2, 4_1, 3","8_2, 6_1, 5","4_1, 3_-2, 3"
40,1.0,,,,,,,,,,,"3_-3, 6_-2, 8","5_-3, 8_-2, 10",,,"3_2, 3_2, 3"
40,4.5,"5_5, 3_6, 3","10_5, 5_6, 3","12_5, 8_6, 5",,,"6_3, 3_4, 1","8_3, 6_4, 3",,,"3_2, 4_-3, 3",,,,,
44,3.0,,,,,,,"10_2, 8_2, 5","12_2, 10_2, 8","15_2, 12_2, 10",,,,"3_-2, 3_-3, 4","6_-2, 5_-3, 6","4_-2, 3_-2, 3"
44,4.0,,,,,,,"8_2, 5_4, 3","10_2, 8_4, 5","12_2, 10_4, 8",,,,"3_-3, 4_2, 3","5_-3, 6_2, 6","3_-2, 3_1, 4"
44,4.5,,,,,,,"5_4, 3_1, 3","8_4, 5_1, 5","10_4, 8_1, 8",,,,"4_2, 3_1, 3","6_2, 6_1, 6","3_1, 4_1, 4"
45,1.5,,,,,,,,,,,,,"3_1, 3_2, 3","6_1, 6_2, 5","4_1, 4_2, 3"
46,1.0,,,,,,,"5_-3, 8_1, 8","8_-3, 10_1, 10","10_-3, 12_1, 12",,,,"4_2, 3_1, 3","6_2, 5_1, 5","3_1, 3_1, 3"
46,2.0,,,,,,,"8_1, 8_5, 3","10_1, 10_5, 5","12_1, 12_5, 8",,,,"3_1, 3_-2, 3","5_1, 5_-2, 6","3_1, 3_-2, 4"
46,2.5,,,,,,,"8_5, 3_2, 3","10_5, 5_2, 3","12_5, 8_2, 6",,,,"3_-2, 3_2, 1","5_-2, 6_2, 4","3_-2, 4_-2, 4"
46,3.0,,,,,,,"3_2, 3_-2, 3","5_2, 3_-2, 5","8_2, 6_-2, 8",,,,"3_2, 1_-2, 3","6_2, 4_-2, 6","4_-2, 4_2, 4"
50,2.5,"3_-4, 5_-2, 3","5_-4, 8_-2, 6",,"8_-4, 10_-2, 10",,"3_-2, 4_-2, 4",,"6_-2, 6_-2, 8",,,"4_1, 3_1, 5",,,,
50,3.0,"5_-2, 3_2, 5","8_-2, 6_2, 8",,"10_-2, 10_2, 10",,"4_-2, 4_2, 4",,"6_-2, 8_2, 6",,,"3_1, 5_2, 3",,,,
50,3.5,"3_2, 5_-5, 8","6_2, 8_-5, 12",,,"12_2, 12_-5, 17","4_2, 4_-2, 5",,,"10_2, 8_-2, 10",,,"7_2, 5_1, 6",,,
51,2.5,"8_1, 8_4, 5","12_1, 12_4, 8","15_1, 15_4, 10",,"17_1, 17_4, 15","5_1, 5_1, 4","8_1, 8_1, 6",,"10_1, 10_1, 11","4_1, 4_-2, 3",,"6_1, 6_-2, 8",,"3_1, 3_-3, 6",
